provincia,departamento,en_adr
Misiones,Apóstoles,1
Misiones,Cainguás,1
Misiones,Candelaria,1
Misiones,Capital,1
Misiones,Concepción,1
Misiones,Eldorado,1
Misiones,General Manuel Belgrano,1
Misiones,Guaraní,1
Misiones,Iguazú,1
Misiones,Leandro N. Alem,1
Misiones,Libertador General San Martín,1
Misiones,Montecarlo,1
Misiones,Oberá,1
Misiones,San Ignacio,1
Misiones,San Javier,1
Misiones,San Pedro,1
Misiones,25 de Mayo,1
Santa Fe,Belgrano,1
Santa Fe,Caseros,0
Santa Fe,Castellanos,0
Santa Fe,Constitución,0
Santa Fe,Garay,1
Santa Fe,General López,0
Santa Fe,General Obligado,1
Santa Fe,Iriondo,1
Santa Fe,La Capital,1
Santa Fe,Las Colonias,1
Santa Fe,9 de Julio,1
Santa Fe,Rosario,1
Santa Fe,San Cristóbal,1
Santa Fe,San Javier,1
Santa Fe,San Jerónimo,1
Santa Fe,San Justo,1
Santa Fe,San Lorenzo,1
Santa Fe,San Martín,1
Santa Fe,Vera,1
Entre Rios,Colón,1
Entre Rios,Concordia,1
Entre Rios,Diamante,1
Entre Rios,Federación,1
Entre Rios,Federal,1
Entre Rios,Feliciano,1
Entre Rios,Gualeguay,1
Entre Rios,Gualeguaychú,1
Entre Rios,Islas del Ibicuy,1
Entre Rios,La Paz,1
Entre Rios,Nogoyá,1
Entre Rios,Paraná,1
Entre Rios,San Salvador,1
Entre Rios,Tala,1
Entre Rios,Uruguay,1
Entre Rios,Victoria,1
Entre Rios,Villaguay,1
Córdoba,Calamuchita,0
Córdoba,Capital,0
Córdoba,Colón,0
Córdoba,Cruz del Eje,0
Córdoba,General Roca,0
Córdoba,General San Martín,0
Córdoba,Ischilín,0
Córdoba,Juárez Celman,0
Córdoba,Marcos Juárez,0
Córdoba,Minas,0
Córdoba,Pocho,0
Córdoba,Presidente Roque Sáenz Peña,0
Córdoba,Punilla,0
Córdoba,Río Cuarto,0
Córdoba,Río Primero,0
Córdoba,Río Seco,0
Córdoba,Río Segundo,0
Córdoba,San Alberto,0
Córdoba,San Javier,0
Córdoba,San Justo,1
Córdoba,Santa María,0
Córdoba,Sobremonte,0
Córdoba,Tercero Arriba,0
Córdoba,Totoral,0
Córdoba,Tulumba,0
Córdoba,Unión,0
Corrientes,Bella Vista,1
Corrientes,Berón de Astrada,1
Corrientes,Capital,1
Corrientes,Concepción,1
Corrientes,Curuzú Cuatiá,1
Corrientes,Empedrado,1
Corrientes,Esquina,1
Corrientes,General Alvear,1
Corrientes,General Paz,1
Corrientes,Goya,1
Corrientes,Itatí,1
Corrientes,Ituzaingó,1
Corrientes,Lavalle,1
Corrientes,Mburucuyá,1
Corrientes,Mercedes,1
Corrientes,Monte Caseros,1
Corrientes,Paso de los Libres,1
Corrientes,Saladas,1
Corrientes,San Cosme,1
Corrientes,San Luis del Palmar,1
Corrientes,San Martín,1
Corrientes,San Miguel,1
Corrientes,San Roque,1
Corrientes,Santo Tomé,1
Corrientes,Sauce,1
Santiago del Estero,Aguirre,0
Santiago del Estero,Alberdi,0
Santiago del Estero,Atamisqui,0
Santiago del Estero,Avellaneda,0
Santiago del Estero,Banda,0
Santiago del Estero,Belgrano,0
Santiago del Estero,Capital,0
Santiago del Estero,Choya,0
Santiago del Estero,Copo,0
Santiago del Estero,Figueroa,0
Santiago del Estero,General Taboada,0
Santiago del Estero,Guasayán,0
Santiago del Estero,Jiménez,0
Santiago del Estero,Juan Felipe Ibarra,0
Santiago del Estero,Loreto,0
Santiago del Estero,Mitre,1
Santiago del Estero,Moreno,0
Santiago del Estero,Ojo de Agua,0
Santiago del Estero,Pellegrini,0
Santiago del Estero,Quebrachos,0
Santiago del Estero,Río Hondo,0
Santiago del Estero,Rivadavia,1
Santiago del Estero,Robles,0
Santiago del Estero,Salavina,0
Santiago del Estero,San Martín,0
Santiago del Estero,Sarmiento,0
Santiago del Estero,Silípica,0
